"time","ab"
2016-03-28,23176.9572539875
2016-03-29,23971.8448725163
2016-03-30,24757.576253091
2016-03-31,25533.2508345961
2016-04-01,26298.0409502695
2016-04-02,27051.1815804774
2016-04-03,27791.9596880586
2016-04-04,28519.7034676941
2016-04-05,29233.7718764046
2016-04-06,29933.5448383145
2016-04-07,30618.41452854
2016-04-08,31287.7781338726
2016-04-09,31941.0324577186
2016-04-10,32577.570680549
2016-04-11,33196.7815035997
2016-04-12,33798.0507937718
2016-04-13,34380.7657153501
2016-04-14,34944.3211860366
2016-04-15,35488.1283404277
2016-04-16,36011.6245353384
2016-04-17,36514.2843014926
2016-04-18,36995.6305483083
2016-04-19,37455.2452745097
2016-04-20,37892.7790357533
2016-04-21,38307.9584755155
2016-04-22,38700.5913360679
2016-04-23,39070.5685256487
2016-04-24,39417.8630140315
2016-04-25,39742.5255455517
2016-04-26,40044.6773778775
2016-04-27,40324.5004575452
2016-04-28,40582.22561228
2016-04-29,40818.1194615375
2016-04-30,41032.4708114949
2016-05-01,41225.5773053627
2016-05-02,41397.7330466068
2016-05-03,41549.2178088191
2016-05-04,41680.2883031602
2016-05-05,41791.1718068399
2016-05-06,41882.0622795847
2016-05-07,41953.1189245939
2016-05-08,42004.4669994282
2016-05-09,42036.2005609418
2016-05-10,42048.3867434252
2016-05-11,42041.0711232777
2016-05-12,42014.2837157218
2016-05-13,41968.04517506
2016-05-14,41902.3728231168
2016-05-15,41817.2862028119
2016-05-16,41712.8119368155
2016-05-17,41588.9877569951
2016-05-18,41445.8656520251
2016-05-19,41283.5141528279
2016-05-20,41102.0198349389
2016-05-21,40901.4881616596
2016-05-22,40682.0438217015
2016-05-23,40443.8307309106
2016-05-24,40187.0118713836
2016-05-25,39911.7691351623
2016-05-26,39618.3033262017
2016-05-27,39306.8344558517
2016-05-28,38977.6024458173
2016-05-29,38630.868330222
2016-05-30,38266.9160263041
2016-05-31,37886.0547223188
2016-06-01,37488.6219118129
2016-06-02,37074.9870856949
2016-06-03,36645.5560771482
2016-06-04,36200.7760389573
2016-06-05,35741.1410174864
2016-06-06,35267.1980715466
2016-06-07,34779.5538667416
2016-06-08,34278.8816556675
2016-06-09,33765.9285306311
2016-06-10,33241.5228076121
2016-06-11,32706.581367513
2016-06-12,32162.1167432334
2016-06-13,31609.243699231
2016-06-14,31049.1850052264
2016-06-15,30483.2760597372
2016-06-16,29912.9679755433
2016-06-17,29339.828702536
2016-06-18,28765.5417396205
2016-06-19,28191.901983388
2016-06-20,27620.8082849214
2016-06-21,27054.2523450784
2016-06-22,26494.3036796426
2016-06-23,25943.0905331714
2016-06-24,25402.7768146017
2016-06-25,24875.5353636214
2016-06-26,24363.5181227804
2016-06-27,23868.8240674513
2016-06-28,23393.4660088196
2016-06-29,22939.3376043553
2016-06-30,22508.1820550267
2016-07-01,22101.5640116482
2016-07-02,21720.8461354966
2016-07-03,21367.1715547613
2016-07-04,21041.4531382601
2016-07-05,20744.3700968121
